brsr_id,gri_code,gri_disclosure,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_name,esrs_data_type,brsr_match_type,brsr_mapping_semantics,brsr_evidence_source,gri_esrs_match_level,expansion_count,expansion_class,interop_support,evidence_tier
A18a,2-7-A,2-7,SBM-1_03,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), at end of period",Integer,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,SBM-1_04,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), during period",Integer,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_01,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_02,ESRS S1,S1,S1-6,Number of employees (head count),Table 1/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_03,ESRS S1,S1,S1-6,Average number of employees (head count),Table 1/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_04,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_05,ESRS S1,S1,S1-6,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_06,ESRS S1,S1,S1-6,Average number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
P5-E2,202-1-A,202-1,S1-10_01,ESRS S1,S1,S1-10,"All employees are paid adequate wage, in line with applicable benchmarks",semi-narrative,direct,direct,table1,disclosure,4,moderate,direct,medium
P5-E2,202-1-A,202-1,S1-10_02,ESRS S1,S1,S1-10,Countries where employees earn below the applicable adequate wage benchmark [table],Table,direct,direct,table1,disclosure,4,moderate,direct,medium
P5-E2,202-1-A,202-1,S1-10_03,ESRS S1,S1,S1-10,Percentage of  employees paid below the applicable adequate wage benchmark,Table/numerical,direct,direct,table1,disclosure,4,moderate,direct,medium
P5-E2,202-1-A,202-1,S1-10_04,ESRS S1,S1,S1-10,Percentage of non-employees paid below adequate wage,Table/numerical,direct,direct,table1,disclosure,4,moderate,direct,medium
P5-L2,3-3-C,3-3,BP-2_25,ESRS 2,ESRS 2,BP-2,Description of policies related to sustainability matters assessed to be material (phase-in),narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,MDR-P_01,ESRS 2 MDR,ESRS 2,MDR-P,Description of key contents of policy,narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,E1-2_01,ESRS E1,E1,E1-2,Sustainability matters addressed by policy for climate change,semi-narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,E4-2_01,ESRS E4,E4,E4-2,Disclosure on whether and how biodiversity and ecosystems-related policies relate to matters reported in E4 AR4,narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,E4-2_02,ESRS E4,E4,E4-2,Explanation of whether and  how biodiversity and ecosystems-related policy relates to material biodiversity and ecosystems-related impacts,narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,S1-1_08,ESRS S1,S1,S1-1,"Policies explicitly address trafficking in human beings, forced labour or compulsory labour and child labour",semi-narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,S1-1_10,ESRS S1,S1,S1-1,Specific policies aimed at elimination of discrimination are in place,semi-narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,S2-1_05,ESRS S2,S2,S2-1,"Policies explicitly address trafficking in human beings, forced labour or compulsory labour and child labour",semi-narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P5-L2,3-3-C,3-3,S3-1_01,ESRS S3,S3,S3-1,Disclosure of any  any particular policy provisions for preventing and addressing impacts on indigenous peoples,narrative,direct,direct,table1,requirement,9,moderate,direct,medium
P6-E6,305-1,305-1,E1-6_01,ESRS E1,E1,E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions - GHG emissions per scope [table]",Table,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-1,305-1,E1-6_07,ESRS E1,E1,E1-6,Gross Scope 1 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-1,305-1,E1-6_17,ESRS E1,E1,E1-6,biogenic emissions of CO2 from the combustion or bio-degradation of biomassnot included in Scope 1 GHG emissions,ghgEmissions,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-1-B,305-1,E1-6_01,ESRS E1,E1,E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions - GHG emissions per scope [table]",Table,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-1-B,305-1,E1-6_07,ESRS E1,E1,E1-6,Gross Scope 1 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-1-B,305-1,E1-6_17,ESRS E1,E1,E1-6,biogenic emissions of CO2 from the combustion or bio-degradation of biomassnot included in Scope 1 GHG emissions,ghgEmissions,direct,direct,table1,disclosure,3,low,partial_requirement,medium
P6-E6,305-2-A,305-2,E1-6_09,ESRS E1,E1,E1-6,Gross location-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,requirement,1,low,partial_requirement,medium
P6-E6,305-2-B,305-2,E1-6_10,ESRS E1,E1,E1-6,Gross market-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,requirement,1,low,partial_requirement,medium
P6-E6,305-2-C,305-2,E1-6_09,ESRS E1,E1,E1-6,Gross location-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,disclosure,2,low,partial_requirement,medium
P6-E6,305-2-C,305-2,E1-6_10,ESRS E1,E1,E1-6,Gross market-based Scope 2 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,disclosure,2,low,partial_requirement,medium
P6-E8,306-4-A,306-4,E5-5_08,ESRS E5,E5,E5-5,"Waste diverted from disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-E8,306-4-B-I-III,306-4,E5-5_08,ESRS E5,E5,E5-5,"Waste diverted from disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-E8,306-4-C-I-III,306-4,E5-5_08,ESRS E5,E5,E5-5,"Waste diverted from disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-E8,306-5-A,306-5,E5-5_09,ESRS E5,E5,E5-5,"Waste directed to disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-E8,306-5-B-I-III,306-5,E5-5_09,ESRS E5,E5,E5-5,"Waste directed to disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-E8,306-5-C-I-IV,306-5,E5-5_09,ESRS E5,E5,E5-5,"Waste directed to disposal, breakdown by hazardous and non-hazardous waste and treatment type",Table/Mass,direct,direct,table1,disclosure,1,low,partial_requirement,medium
P6-L4,305-3-A,305-3,E1-6_11,ESRS E1,E1,E1-6,Gross Scope 3 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,requirement,1,low,partial_requirement,medium
P6-L4,305-3-B,305-3,E1-6_04,ESRS E1,E1,E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions - Scope 3 GHG emissions (GHG Protocol) [table]",Table,direct,direct,table1,disclosure,5,moderate,partial_requirement,medium
P6-L4,305-3-B,305-3,E1-6_11,ESRS E1,E1,E1-6,Gross Scope 3 greenhouse gas emissions,Table/GhgEmissions,direct,direct,table1,disclosure,5,moderate,partial_requirement,medium
P6-L4,305-3-B,305-3,E1-6_26,ESRS E1,E1,E1-6,Disclosure of why Scope 3 GHG emissions category has been excluded,narrative,direct,direct,table1,disclosure,5,moderate,partial_requirement,medium
P6-L4,305-3-B,305-3,E1-6_27,ESRS E1,E1,E1-6,List of Scope 3 GHG emissions categories included in inventory,semi-narrative,direct,direct,table1,disclosure,5,moderate,partial_requirement,medium
P6-L4,305-3-B,305-3,E1-6_28,ESRS E1,E1,E1-6,Biogenic emissions of CO2 from combustion or bio-degradation of biomass that occur in value chain not included in Scope 3 GHG emissions,ghgEmissions,direct,direct,table1,disclosure,5,moderate,partial_requirement,medium
P8-E3,2-25-B,2-25,S1-3_02,ESRS S1,S1,S1-3,Disclosure of specific channels in place for its own workforce to raise concerns or needs directly with undertaking and have them addressed,narrative,direct,direct,table1,requirement,4,moderate,direct,medium
P8-E3,2-25-B,2-25,S2-3_02,ESRS S2,S2,S2-3,Disclosure of specific channels in place for value chain workers to raise concerns or needs directly with undertaking and have them addressed,narrative,direct,direct,table1,requirement,4,moderate,direct,medium
P8-E3,2-25-B,2-25,S3-3_11,ESRS S3,S3,S3-3,Disclosure of specific channels in place for affected communities to raise concerns or needs directly with undertaking and have them addressed,narrative,direct,direct,table1,requirement,4,moderate,direct,medium
P8-E3,2-25-B,2-25,S4-3_02,ESRS S4,S4,S4-3,Disclosure of specific channels in place for consumers and end-users to raise concerns or needs directly with undertaking and have them addressed,narrative,direct,direct,table1,requirement,4,moderate,direct,medium
