brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
A13,,,2-2,2-2,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A13,,,2-2,2-2-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A13,,,2-2,2-2-C,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A14,,,2-6,2-6,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A14,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A15,,,2-6,2-6,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A15,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A16,,,2-6,2-6,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A16,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A17,,,2-6,2-6,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A17,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A17,,,2-6,2-6-B-III,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A17a,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A17c,,,2-6,2-6-B-III,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
A18,,,2-7,2-7,,,,,,,,,,,,19,low_precision,no_esrs_datapoint,0,
A18,,,2-8,2-8,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
A18,,,405-1,405-1,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
A18a,,,2-7,2-7-A,,,,,,,,,,,,19,low_precision,no_esrs_datapoint,0,
A18a,,,2-7,2-7-B-I-II,,,,,,,,,,,,19,low_precision,no_esrs_datapoint,0,
A18a,,,2-8,2-8-A,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
A18b,,,405-1,405-1-B-III,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
A19,,,405-1,405-1,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
A19,,,405-1,405-1-A-I,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
A19,,,405-1,405-1-B-I,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
A20,,,401-1,401-1,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A20,,,401-1,401-1-B,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A21,,,2-2,2-2,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A21,,,2-2,2-2-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A21,,,2-2,2-2-B,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
A22,,,201-1,201-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
A22,,,201-1,201-1-A-I-II,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
A23,,,2-25,2-25,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
A23,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
A24,,,201-2,201-2-A,,,,,,,,,,,,9,low_precision,no_esrs_datapoint,0,
A24,,,3-1,3-1,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
A24,,,3-1,3-1-A-I-II,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
A24,,,3-1,3-1-B,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
A24,,,3-2,3-2,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
A24,,,3-2,3-2-A,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
A24,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
A24,,,3-3,3-3-A,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
A24,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
B1,,,2-23,2-23,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
B1,,,2-23,2-23-A,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
