brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
A14,2-6,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A14,2-6-B-I,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A15,2-6,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A15,2-6-B-I,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A16,2-6,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A16,2-6-B-I,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A17,2-6,2-6,11,high_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_11
A17,2-6-B-I,2-6,11,high_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_11
A17,2-6-B-III,2-6,11,high_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_11
A17a,2-6-B-I,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A17c,2-6-B-III,2-6,11,high_expansion,direct,direct,direct,low_precision,expansion_11
A18,2-7,2-7,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-8,2-8,9,high_expansion,direct,direct,direct,low_precision,expansion_9
A18,405-1,405-1,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
A18a,2-7-A,2-7,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-B-I-II,2-7,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-8-A,2-8,9,high_expansion,direct,direct,direct,low_precision,expansion_9
A18b,405-1-B-III,405-1,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
A19,405-1,405-1,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
A19,405-1-A-I,405-1,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
A19,405-1-B-I,405-1,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
A23,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A24,201-2-A,201-2,9,high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_9
A24,3-1,3-1,8,high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_8
A24,3-1-A-I-II,3-1,8,high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_8
A24,3-1-B,3-1,8,high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_8
A24,3-2,3-2,4,moderate_expansion,direct,can_be_covered_by,partial,low_precision,expansion_4
A24,3-2-A,3-2,4,moderate_expansion,direct,can_be_covered_by,partial,low_precision,expansion_4
A24,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
A24,3-3-A,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
A24,3-3-D-I-II,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
B1,2-23,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B1,2-23-A,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B1,2-23-C,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B1,2-23-D,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B2,2-24,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
B2,2-24-A-II,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
B3,2-23,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B3,2-23-E,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
B5,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
B5,3-3-C,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
B5,3-3-E-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
