brsr_id,brsr_text,brsr_match_type,brsr_mapping_semantics,gri_code_from_brsr,gri_standard,gri_disclosure,gri_granularity,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_paragraph,esrs_name,esrs_data_type,gri_esrs_source,interop_mapping_type,interop_esrs_requirement,mapping_chain,mapping_confidence,gri_parent_disclosure,esrs_expansion_count,expansion_class,precision_class,precision_reason,candidate_status
P1-E1,Percentage coverage by training and awareness programmes on any of the principles during the financial year:,direct,direct,2-17-A,GRI 2,2-17,requirement,GOV-1_15,ESRS 2,ESRS 2,GOV-1,23,"Disclosure of how administrative, management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §23,BRSR -> GRI -> ESRS,transitive_official,2-17,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P1-E1,Percentage coverage by training and awareness programmes on any of the principles during the financial year:,direct,direct,2-17,GRI 2,2-17,disclosure,GOV-1_15,ESRS 2,ESRS 2,GOV-1,23,"Disclosure of how administrative, management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §23,BRSR -> GRI -> ESRS,transitive_official,2-17,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P2-L3,Percentage of recycled or reused input material to total material (by value) used in production (for manufacturing industry) or providing services (for service industry).,direct,direct,301-2-A,GRI 301,301-2,requirement,E5-4_05,ESRS E5,E5,E5-4,31c,"Percentage of secondary reused or recycled components, secondary intermediary products and secondary materials",Percent,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS E5 E5-4 §31 (c),BRSR -> GRI -> ESRS,transitive_official,301-2,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P2-L3,Percentage of recycled or reused input material to total material (by value) used in production (for manufacturing industry) or providing services (for service industry).,direct,direct,301-2,GRI 301,301-2,disclosure,E5-4_05,ESRS E5,E5,E5-4,31c,"Percentage of secondary reused or recycled components, secondary intermediary products and secondary materials",Percent,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS E5 E5-4 §31 (c),BRSR -> GRI -> ESRS,transitive_official,301-2,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P6-E1,"Details of total energy consumption (in Joules or multiples) and energy intensity, in the following format: Total electricity consumption (A) Total fuel consumption (B) Energy consumption through other sources © Total energy consumption (A+B+C) Energy intensity per rupee of turnover Energy intensity (optional) – the relevant metric may be selected by the entity",direct,direct,302-3-A,GRI 302,302-3,requirement,E1-5_18,ESRS E1,E1,E1-5,40,Energy intensity from activities in high climate impact sectors (total energy consumption per net revenue),intensity,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS E1 E1-5 §40,BRSR -> GRI -> ESRS,transitive_official,302-3,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P6-E1,"Details of total energy consumption (in Joules or multiples) and energy intensity, in the following format: Total electricity consumption (A) Total fuel consumption (B) Energy consumption through other sources © Total energy consumption (A+B+C) Energy intensity per rupee of turnover Energy intensity (optional) – the relevant metric may be selected by the entity",direct,direct,302-3,GRI 302,302-3,disclosure,E1-5_18,ESRS E1,E1,E1-5,40,Energy intensity from activities in high climate impact sectors (total energy consumption per net revenue),intensity,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS E1 E1-5 §40,BRSR -> GRI -> ESRS,transitive_official,302-3,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P6-E11,"Details of environmental impact assessments of projects undertaken by the entity based on applicable laws, in the current financial year: Details of environmental impact assessments of projects undertaken by the entity based on applicable laws, in the current financial year:",no_direct_linkage,no_direct_linkage,413-1-A-II,GRI 413,413-1,requirement,S3-4_17,ESRS S3,S3,S3-4,AR 34 c,"Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS S3 S3-2 §22; S3-3 §27 (b); S3-4 §AR 34 (c),BRSR -> GRI -> ESRS,transitive_official,413-1,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P6-E11,"Details of environmental impact assessments of projects undertaken by the entity based on applicable laws, in the current financial year: Details of environmental impact assessments of projects undertaken by the entity based on applicable laws, in the current financial year:",no_direct_linkage,no_direct_linkage,413-1,GRI 413,413-1,disclosure,S3-4_17,ESRS S3,S3,S3-4,AR 34 c,"Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS S3 S3-2 §22; S3-3 §27 (b); S3-4 §AR 34 (c),BRSR -> GRI -> ESRS,transitive_official,413-1,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P8-E1,"Provide information on project(s) for which ongoing Rehabilitation and Resettlement (R&R) is being undertaken by your entity, in the following format: Name of Project for which R&R is ongoing State District No. of Project Affected Families (PAFs) % of PAFs covered by R&R Amounts paid to PAFs in the FY (In INR)",can_be_covered_by,partial,413-1-A-I-III,GRI 413,413-1,requirement,S3-4_17,ESRS S3,S3,S3-4,AR 34 c,"Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS S3 S3-2 §22; S3-3 §27 (b); S3-4 §AR 34 (c),BRSR -> GRI -> ESRS,transitive_official,413-1,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
P8-E2,Describe the mechanisms to receive and redress grievances of the community.,can_be_covered_by,partial,413-1-A-IV,GRI 413,413-1,requirement,S3-4_17,ESRS S3,S3,S3-4,AR 34 c,"Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS S3 S3-2 §22; S3-3 §27 (b); S3-4 §AR 34 (c),BRSR -> GRI -> ESRS,transitive_official,413-1,1,one_to_one,high_precision_candidate,one_to_one_direct_mapping,strong_candidate
