brsr_id,brsr_text,brsr_match_type,brsr_mapping_semantics,gri_code_from_brsr,gri_standard,gri_disclosure,gri_granularity,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_paragraph,esrs_name,esrs_data_type,gri_esrs_source,interop_mapping_type,interop_esrs_requirement,mapping_chain,mapping_confidence,gri_parent_disclosure,esrs_expansion_count,expansion_class,precision_class,precision_reason,candidate_status
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2-A,GRI 2,2-2,requirement,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2-A,GRI 2,2-2,requirement,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2-C,GRI 2,2-2,requirement,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2-C,GRI 2,2-2,requirement,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2,GRI 2,2-2,disclosure,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_disclosure_level,candidate
A13,"Reporting boundary - Are the disclosures under this report made on a standalone basis (i.e. only for the entity) or on a consolidated basis (i.e. for the entity and all the entities which form a part of its consolidated financial statements, taken together).",direct,direct,2-2,GRI 2,2-2,disclosure,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_disclosure_level,candidate
A20,Turnover rate for permanent employees and workers (Disclose trends for the past 3 years),direct,direct,401-1-B,GRI 401,401-1,requirement,S1-6_11,ESRS S1,S1,S1-6,50 c,Number of employee who have left undertaking,Decimal,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-6 §50 (c),BRSR -> GRI -> ESRS,transitive_official,401-1,2,small_expansion,review,small_expansion_partial_requirement,candidate
A20,Turnover rate for permanent employees and workers (Disclose trends for the past 3 years),direct,direct,401-1-B,GRI 401,401-1,requirement,S1-6_12,ESRS S1,S1,S1-6,50 c,Percentage of employee turnover,Percent,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-6 §50 (c),BRSR -> GRI -> ESRS,transitive_official,401-1,2,small_expansion,review,small_expansion_partial_requirement,candidate
A20,Turnover rate for permanent employees and workers (Disclose trends for the past 3 years),direct,direct,401-1,GRI 401,401-1,disclosure,S1-6_11,ESRS S1,S1,S1-6,50 c,Number of employee who have left undertaking,Decimal,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-6 §50 (c),BRSR -> GRI -> ESRS,transitive_official,401-1,2,small_expansion,review,small_expansion_partial_requirement,candidate
A20,Turnover rate for permanent employees and workers (Disclose trends for the past 3 years),direct,direct,401-1,GRI 401,401-1,disclosure,S1-6_12,ESRS S1,S1,S1-6,50 c,Percentage of employee turnover,Percent,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS S1 S1-6 §50 (c),BRSR -> GRI -> ESRS,transitive_official,401-1,2,small_expansion,review,small_expansion_partial_requirement,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2-A,GRI 2,2-2,requirement,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2-A,GRI 2,2-2,requirement,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2-B,GRI 2,2-2,requirement,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2-B,GRI 2,2-2,requirement,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2,GRI 2,2-2,disclosure,BP-1_01,ESRS 2,ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_disclosure_level,candidate
A21,"(a) Names of holding / subsidiary / associate companies / joint ventures A Name of the holding / subsidiary / associate companies / joint ventures (A) B Indicate whether holding/ subsidiary/ associate/ joint venture C % of shares held by listed entity D Does the entity indicated at A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)",direct,direct,2-2,GRI 2,2-2,disclosure,BP-1_02,ESRS 2,ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 1 5.1; ESRS 2 BP-1 §5 (a) and (b) i,BRSR -> GRI -> ESRS,transitive_official,2-2,2,small_expansion,review,small_expansion_disclosure_level,candidate
A22,"(i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) (ii) Turnover (in Rs.) (iii) Net worth (in Rs.)",direct,direct,201-1-A-I-II,GRI 201,201-1,requirement,SBM-1_06,ESRS 2,ESRS 2,SBM-1,40 b,Total revenue,Monetary,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS 2 SBM-1 §40 (b),BRSR -> GRI -> ESRS,transitive_official,201-1,1,one_to_one,review,one_to_one_partial_requirement,candidate
A22,"(i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No) (ii) Turnover (in Rs.) (iii) Net worth (in Rs.)",direct,direct,201-1,GRI 201,201-1,disclosure,SBM-1_06,ESRS 2,ESRS 2,SBM-1,40 b,Total revenue,Monetary,GRI-EFRAG-Nov2024-datapoint-mapping,partial_requirement,ESRS 2 SBM-1 §40 (b),BRSR -> GRI -> ESRS,transitive_official,201-1,1,one_to_one,review,one_to_one_partial_requirement,candidate
B7,"Statement by Director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)",direct,direct,2-22-A,GRI 2,2-22,requirement,BP-2_23,ESRS 2,ESRS 2,BP-2,17 a,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 SBM-1 §40 (g),BRSR -> GRI -> ESRS,transitive_official,2-22,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B7,"Statement by Director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)",direct,direct,2-22-A,GRI 2,2-22,requirement,SBM-1_23,ESRS 2,ESRS 2,SBM-1,40 g,Disclosure of elements of strategy that relate to or impact sustainability matters,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 SBM-1 §40 (g),BRSR -> GRI -> ESRS,transitive_official,2-22,2,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B7,"Statement by Director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)",direct,direct,2-22,GRI 2,2-22,disclosure,BP-2_23,ESRS 2,ESRS 2,BP-2,17 a,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 SBM-1 §40 (g),BRSR -> GRI -> ESRS,transitive_official,2-22,2,small_expansion,review,small_expansion_disclosure_level,candidate
B7,"Statement by Director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)",direct,direct,2-22,GRI 2,2-22,disclosure,SBM-1_23,ESRS 2,ESRS 2,SBM-1,40 g,Disclosure of elements of strategy that relate to or impact sustainability matters,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 SBM-1 §40 (g),BRSR -> GRI -> ESRS,transitive_official,2-22,2,small_expansion,review,small_expansion_disclosure_level,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,GOV-1_11,ESRS 2,ESRS 2,GOV-1,22 c i,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,GOV-1_12,ESRS 2,ESRS 2,GOV-1,22 c ii,"Information about reporting lines to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13-A-I,GRI 2,2-13,requirement,G1-3_03,ESRS G1,G1,G1-3,18 c,"Information about process to report outcomes to administrative, management and supervisory bodies",narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_exact_gri_requirement,candidate
B8,"Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies). Governance, leadership and oversight",direct,direct,2-13,GRI 2,2-13,disclosure,GOV-1_11,ESRS 2,ESRS 2,GOV-1,22 c i,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,GRI-EFRAG-Nov2024-datapoint-mapping,direct,ESRS 2 GOV-1 §22 (c) i and ii; GOV- 2 §26 (a); ESRS G1 G1-3 §18 (c),BRSR -> GRI -> ESRS,transitive_official,2-13,3,small_expansion,review,small_expansion_disclosure_level,candidate
