brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
A13,2-2,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A13,2-2-A,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A13,2-2-C,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A20,401-1,401-1,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
A20,401-1-B,401-1,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
A21,2-2,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A21,2-2-A,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A21,2-2-B,2-2,2,moderate_expansion,direct,direct,direct,review,small_expansion
A22,201-1,201-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
A22,201-1-A-I-II,201-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
B7,2-22,2-22,2,moderate_expansion,direct,direct,direct,review,small_expansion
B7,2-22-A,2-22,2,moderate_expansion,direct,direct,direct,review,small_expansion
B8,2-13,2-13,3,moderate_expansion,direct,direct,direct,review,small_expansion
B8,2-13-A-I,2-13,3,moderate_expansion,direct,direct,direct,review,small_expansion
P1-E1,2-17,2-17,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P1-E1,2-17-A,2-17,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P2-L3,301-2,301-2,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P2-L3,301-2-A,301-2,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E10,403-1,403-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E10a,403-1-A,403-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E10a,403-1-B,403-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E11,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E11,403-10-A,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E11,403-10-B-II,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E12,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E12,403-10-C-III,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E15,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E15,403-10-C-II-III,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E5,401-3-A,401-3,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
