brsr_id,gri_code,esrs_datapoint_id,esrs_name,esrs_data_type,interop_mapping_type,review_reason,esrs_datapoint_count,expansion_class,brsr_match_type,brsr_mapping_semantics,interop_support,precision_class,precision_reason
A18,2-7,SBM-1_03,"Number of employees (head count), at end of period",Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,SBM-1_04,"Number of employees (head count), during period",Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_01,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_02,Number of employees (head count),Table 1/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_03,Average number of employees (head count),Table 1/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_04,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_05,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_06,Average number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_07,Characteristics of undertaking's employees - information on employees by contract type and gender  [table],Table 3,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_08,Characteristics of undertaking's employees - information on employees by region [table],Table 3,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_09,Number of employees (head count or full-time equivalent),Table 3/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_10,Average number of employees (head count or full-time equivalent),Table 3/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_13,Description of methodologies and assumptions used to compile data (employees),narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_14,Employees numbers are reported in head count or full-time equivalent,semi-narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_15,Employees numbers are reported at end of reporting period/average/other methodology,semi-narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_16,Disclosure of contextual information necessary to understand data (employees),narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_18,Further detailed breakdown by gender and by region [table],Table 4,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_19,Number of full-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18,2-7,S1-6_20,Number of part-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,SBM-1_03,"Number of employees (head count), at end of period",Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,SBM-1_04,"Number of employees (head count), during period",Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_01,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_02,Number of employees (head count),Table 1/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_03,Average number of employees (head count),Table 1/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_04,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_05,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_06,Average number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_07,Characteristics of undertaking's employees - information on employees by contract type and gender  [table],Table 3,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_08,Characteristics of undertaking's employees - information on employees by region [table],Table 3,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_09,Number of employees (head count or full-time equivalent),Table 3/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
