brsr_id,gri_code,gri_disclosure,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_name,esrs_data_type,brsr_match_type,brsr_mapping_semantics,brsr_evidence_source,gri_esrs_match_level,expansion_count,expansion_class,interop_support,evidence_tier
A18a,2-7-A,2-7,S1-6_01,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_02,ESRS S1,S1,S1-6,Number of employees (head count),Table 1/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_03,ESRS S1,S1,S1-6,Average number of employees (head count),Table 1/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_04,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_05,ESRS S1,S1,S1-6,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,S1-6_06,ESRS S1,S1,S1-6,Average number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,SBM-1_03,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), at end of period",Integer,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-7-A,2-7,SBM-1_04,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), during period",Integer,direct,direct,table1,requirement,8,moderate,direct,medium
A18a,2-8-A,2-8,S1-7_01,ESRS S1,S1,S1-7,Number of non-employees in own workforce,Decimal,direct,direct,table1,requirement,3,low,direct,gold
A18a,2-8-A,2-8,S1-7_02,ESRS S1,S1,S1-7,Number of non-employees in own workforce - self-employed people,Decimal,direct,direct,table1,requirement,3,low,direct,gold
A18a,2-8-A,2-8,S1-7_03,ESRS S1,S1,S1-7,Number of non-employees in own workforce - people provided by undertakings primarily engaged in employment activities,Decimal,direct,direct,table1,requirement,3,low,direct,gold
A21,2-2-A,2-2,BP-1_01,ESRS 2,ESRS 2,BP-1,Basis for preparation of sustainability statement,semi-narrative,direct,direct,table1,requirement,1,low,direct,gold
A21,2-2-B,2-2,BP-1_02,ESRS 2,ESRS 2,BP-1,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,direct,direct,table1,requirement,1,low,direct,gold
B8,2-13-A-I,2-13,G1-3_03,ESRS G1,G1,G1-3,"Information about process to report outcomes to administrative, management and supervisory bodies",narrative,direct,direct,table1,disclosure,3,low,direct,gold
B8,2-13-A-I,2-13,GOV-1_11,ESRS 2,ESRS 2,GOV-1,Description of how oversight is exercised over management-level position or committee to which management's role is delegated to,narrative,direct,direct,table1,disclosure,3,low,direct,gold
B8,2-13-A-I,2-13,GOV-1_12,ESRS 2,ESRS 2,GOV-1,"Information about reporting lines to administrative, management and supervisory bodies",narrative,direct,direct,table1,disclosure,3,low,direct,gold
P1-E1,2-17-A,2-17,GOV-1_15,ESRS 2,ESRS 2,GOV-1,"Disclosure of how administrative, management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters",narrative,direct,direct,table1,requirement,1,low,direct,gold
P1-E1,2-24-A-IV,2-24,G1-1_10,ESRS G1,G1,G1-1,Information about policy for training within organisation on business conduct,narrative,direct,direct,table1,requirement,1,low,direct,gold
P1-L1,2-24-A-IV,2-24,G1-1_10,ESRS G1,G1,G1-1,Information about policy for training within organisation on business conduct,narrative,direct,direct,table1,requirement,1,low,direct,gold
P2-L2,3-3-A,3-3,SBM-3_04,ESRS 2,ESRS 2,SBM-3,Disclosure of how material negative and positive impacts affect (or are likely to affect) people or environment,narrative,direct,direct,table1,requirement,1,low,direct,gold
P2-L2,306-2-A,306-2,E5-2_05,ESRS E5,E5,E5-2,Description of actions taken to prevent waste generation in the undertaking's upstream and downstram value chain,narrative,direct,direct,table1,requirement,2,low,partial_requirement,medium
P2-L2,306-2-A,306-2,E5-2_06,ESRS E5,E5,E5-2,Description of Optimistation of waste management,narrative,direct,direct,table1,requirement,2,low,partial_requirement,medium
P2-L3,301-2-A,301-2,E5-4_05,ESRS E5,E5,E5-4,"Percentage of secondary reused or recycled components, secondary intermediary products and secondary materials",Percent,direct,direct,table1,requirement,1,low,direct,gold
P3-E7,2-30-A,2-30,S1-8_01,ESRS S1,S1,S1-8,Percentage of total employees covered by collective bargaining agreements,Percent,direct,direct,table1,requirement,1,low,direct,gold
P3-E8,404-1-A-I,404-1,S1-13_03,ESRS S1,S1,S1-13,Average number of training hours  by gender [table],Table,direct,direct,table1,requirement,2,low,direct,gold
P3-E8,404-1-A-I,404-1,S1-13_04,ESRS S1,S1,S1-13,Average number of training hours per person for employees,Table/Decimal,direct,direct,table1,requirement,2,low,direct,gold
