brsr_id,esrs_datapoint_id
A18a,S1-6_01
A18a,S1-6_02
A18a,S1-6_03
A18a,S1-6_04
A18a,S1-6_05
A18a,S1-6_06
A18a,SBM-1_03
A18a,SBM-1_04
A18a,S1-7_01
A18a,S1-7_02
A18a,S1-7_03
A21,BP-1_01
A21,BP-1_02
B8,G1-3_03
B8,GOV-1_11
B8,GOV-1_12
P1-E1,GOV-1_15
P1-E1,G1-1_10
P1-L1,G1-1_10
P2-L2,SBM-3_04
P2-L2,E5-2_05
P2-L2,E5-2_06
P2-L3,E5-4_05
P3-E7,S1-8_01
P3-E8,S1-13_03
P3-E8,S1-13_04
P3-E8,S1-1_22
P3-E9,S1-13_01
P3-E9,S1-13_02
P4-E1,SBM-2_02
P4-E1,SBM-2_03
P4-E2,IRO-1_05
P4-L1,SBM-2_02
P4-L1,SBM-2_03
P4-L2,BP-1_04
P4-L2,IRO-1_01
P4-L2,IRO-1_02
P4-L2,IRO-1_03
P4-L2,IRO-1_04
P4-L2,IRO-1_05
P4-L2,IRO-1_06
P4-L2,IRO-1_14
P5-E1,G1-1_10
P5-E1,G1-3_05
P5-E1,G1-3_07
P5-E1,G1-3_08
P5-E1,G1-3_09
P5-E1,G1-4_03
P5-E1,S1-13_03
P5-E1,S1-13_04
P5-E1,S1-13_05
P5-E1,S1-13_06
P5-E4,G1-3_03
P5-E4,GOV-1_11
P5-E4,GOV-1_12
P5-L2,BP-1_04
P5-L2,IRO-1_04
P5-L2,SBM-3_04
P5-L2,BP-2_25
P5-L2,E1-2_01
P5-L2,E4-2_01
P5-L2,E4-2_02
P5-L2,MDR-P_01
P5-L2,S1-1_08
P5-L2,S1-1_10
P5-L2,S2-1_05
P5-L2,S3-1_01
P6-E6,E1-6_01
P6-E6,E1-6_07
P6-E6,E1-6_17
P6-E6,E1-6_09
P6-E6,E1-6_10
P6-E6,E1-6_30
P6-E6,E1-6_31
P6-E8,E5-5_07
P6-E8,E5-5_15
P6-E8,E5-5_16
P6-E8,E5-5_08
P6-E8,E5-5_09
P6-L4,E1-6_11
P6-L4,E1-6_04
P6-L4,E1-6_26
P6-L4,E1-6_27
P6-L4,E1-6_28
P6-L4,E1-6_30
P6-L4,E1-6_31
P8-L1,S3-4_17
P2-L2,BP-2_26
P8-L1,S1-4_01
