brsr_id,experimental_track,candidate_count,top_esrs_datapoint,top_score,top_margin,top5_available,top10_available
A18,zero_shot,19,S1-6_15,1.15645170211792,0.13611924648284912,1,1
A24,zero_shot,186,BP-2_25,4.3061981201171875,0.16706085205078125,1,1
B1,zero_shot,20,S1-1_14,1.0781301259994507,0.027379631996154785,1,1
P1-E4,zero_shot,20,S3-1_09,0.7402907013893127,0.022853851318359375,1,1
P2-E3,zero_shot,186,MDR-T_17,0.4575768709182739,0.028274357318878174,1,1
P2-L2,train,186,BP-2_26,0.7038754820823669,0.08976113796234131,1,1
P3-E12,zero_shot,186,BP-2_26,3.940220355987549,0.6814680099487305,1,1
P3-E15,zero_shot,186,S3-4_01,8.220999717712402,0.06134223937988281,1,1
P3-E3,zero_shot,186,S1-5_03,1.638074278831482,0.1839585304260254,1,1
P4-E2,train,31,SBM-2_03,1.4505687952041626,0.03724193572998047,1,1
P4-L3,zero_shot,31,SBM-2_05,3.4676759243011475,0.015971899032592773,1,1
P5-E10,zero_shot,186,S3-4_01,3.1972241401672363,0.36620092391967773,1,1
P5-E5,zero_shot,43,S1-3_05,3.0866236686706543,0.7280187606811523,1,1
P5-E8,zero_shot,206,S1-1_03,-2.564101219177246,0.4559295177459717,1,1
P5-L1,zero_shot,186,S1-4_05,-1.7611685991287231,0.2087717056274414,1,1
P5-L2,train,186,S4-4_11,-0.9328552484512329,0.4739851951599121,1,1
P5-L3,zero_shot,186,S4-3_07,-1.8182164430618286,0.07401621341705322,1,1
P5-L4,zero_shot,186,S2-4_04,4.023916721343994,0.3313331604003906,1,1
P6-E2,zero_shot,186,S4-5_03,2.128228187561035,0.5510902404785156,1,1
P6-E9,zero_shot,186,MDR-P_01,4.288793087005615,0.015582561492919922,1,1
P6-L6,zero_shot,186,E5.IRO-1_01,3.3252315521240234,0.285311222076416,1,1
P7-E2,zero_shot,186,S3-4_01,3.9987783432006836,0.29569530487060547,1,1
P8-E3,validation,186,MDR-T_02,2.418593406677246,2.364334851503372,1,1
P8-L1,train,186,S1-4_01,5.309250831604004,0.1765446662902832,1,1
P8-L3,zero_shot,186,S1-1_10,2.570831060409546,0.036141395568847656,1,1
P8-L5,zero_shot,186,S3-4_01,3.279371976852417,0.3384425640106201,1,1
P9-E1,zero_shot,43,S1-3_05,3.544095277786255,3.4569422379136086,1,1
P9-E3,zero_shot,1,S4-3_13,3.987848997116089,inf,0,0
P9-E5,zero_shot,206,S4-1_01,1.9400019645690918,0.30277037620544434,1,1
P9-E6,zero_shot,186,S3-4_01,4.006861209869385,0.05546998977661133,1,1
P9-L2,zero_shot,186,S4-2_01,1.2692712545394897,0.695938229560852,1,1
P9-L5,zero_shot,1,S4-3_13,1.1165294647216797,inf,0,0
