brsr_id,esrs_datapoint_id,rank,teacher_score,candidate_universe
A18,S1-6_15,1,1.1564511060714722,1201
A24,BP-2_23,1,4.528258800506592,1201
B1,G1-5_12,1,1.7702343463897705,1201
P1-E4,G1-3_08,1,4.447743892669678,1201
P2-E3,E5-1_03,1,1.966446876525879,1201
P3-E12,BP-2_26,1,3.940220355987549,1201
P3-E15,S3-4_01,1,8.220998764038086,1201
P3-E3,S2-3_10,1,4.039528846740723,1201
P4-L3,S4-4_14,1,3.4921481609344482,1201
P5-E10,S1-4_06,1,3.987142562866211,1201
P5-E5,S1-3_05,1,3.0866243839263916,1201
P5-E8,S4-1_07,1,0.13255096971988678,1201
P5-L1,S1-1_21,1,1.9275296926498413,1201
P5-L3,S1-1_18,1,1.0316070318222046,1201
P5-L4,S2-3_05,1,4.788853645324707,1201
P6-E2,G1-5_12,1,2.695828676223755,1201
P6-E9,E5-2_06,1,5.480908393859863,1201
P6-L6,E5-3_11,1,3.879379987716675,1201
P7-E2,S3-4_01,1,3.9987785816192627,1201
P8-L3,E4-2_08,1,3.447718381881714,1201
P8-L5,S3-4_01,1,3.2793736457824707,1201
P9-E1,S1-3_05,1,3.544095277786255,1201
P9-E3,S4-3_13,1,3.987848997116089,1201
P9-E5,S1.MDR-P_01-06,1,2.1077725887298584,1201
P9-E6,S3-4_01,1,4.006861209869385,1201
P9-L2,S4-2_06,1,5.17903470993042,1201
P9-L5,E1-7_16,1,2.499833345413208,1201
