system,evaluated_brsr_ids,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
direct,5,0.35,0.85,0.9,0.9,1.0,0.6900000000000001
symbolic_multihop,5,0.35,0.85,0.9,0.9,1.0,0.6900000000000001
multihop_cross_encoder,5,0.45,0.9,0.9,0.9,1.0,0.85
multihop_kd_gold,5,0.35,0.7,0.8,0.8,1.0,0.7083333333333334
multihop_kd_gold_medium,5,0.35,0.7,0.8,0.8,1.0,0.7095238095238094
direct_kd_gold,5,0.35,0.7,0.8,0.8,1.0,0.7071428571428571
direct_kd_gold_medium,5,0.35,0.7,0.8,0.8,1.0,0.7095238095238094
direct_full_dense,5,0.35,0.65,0.75,0.8,0.8,0.675
direct_full_cross_encoder,5,0.15,0.5,0.5,0.7,0.7,0.4663698370594922
direct_full_kd_gold,5,0.35,0.6,0.65,0.7,0.8,0.7034482758620689
direct_full_kd_gold_medium,5,0.35,0.6,0.65,0.7,0.8,0.7043478260869566
