brsr_id,system,rank,esrs_datapoint_id,is_gold
A13,direct,1,BP-1_02,True
A13,direct,2,BP-1_01,True
A13,symbolic_multihop,1,BP-1_02,True
A13,symbolic_multihop,2,BP-1_01,True
A13,multihop_cross_encoder,1,BP-1_02,True
A13,multihop_cross_encoder,2,BP-1_01,True
A13,multihop_kd_gold,1,BP-1_02,True
A13,multihop_kd_gold,2,BP-1_01,True
A13,multihop_kd_gold_medium,1,BP-1_02,True
A13,multihop_kd_gold_medium,2,BP-1_01,True
A13,direct_kd_gold,1,BP-1_02,True
A13,direct_kd_gold,2,BP-1_01,True
A13,direct_kd_gold_medium,1,BP-1_02,True
A13,direct_kd_gold_medium,2,BP-1_01,True
B6,direct,1,MDR-T_18,False
B6,direct,2,S2-5_06,False
B6,direct,3,S3-5_06,False
B6,direct,4,S4-5_06,False
B6,direct,5,MDR-T_13,True
B6,direct,6,S1-5_06,False
B6,direct,7,E4-3_10,False
B6,direct,8,S1-4_13,False
B6,direct,9,MDR-A_14,False
B6,direct,10,MDR-P_08,False
B6,direct,11,S1-5_02,False
B6,direct,12,MDR-T_17,False
B6,direct,13,MDR-M_01,False
B6,direct,14,BP-2_26,False
B6,direct,15,S1.MDR-T_01-13,False
B6,direct,16,S2-5_02,False
B6,direct,17,E2.MDR-T_14-19,False
B6,direct,18,E3.MDR-T_14-19,False
B6,direct,19,E4.MDR-T_14-19,False
B6,direct,20,E5.MDR-T_14-19,False
B6,direct,21,S1.MDR-T_14-19,False
B6,direct,22,S2.MDR-T_14-19,False
B6,direct,23,S3.MDR-T_14-19,False
B6,direct,24,S4.MDR-T_14-19,False
B6,direct,25,S2-4_15,False
B6,direct,26,S3-5_02,False
B6,direct,27,G1.MDR-A_01-12,False
B6,direct,28,E1.MDR-T_14-19,False
B6,direct,29,MDR-T_04,False
B6,direct,30,S3-5_03,False
B6,direct,31,S2-5_03,False
B6,direct,32,S1-4_12,True
B6,direct,33,S1-5_03,False
B6,direct,34,MDR-T_09,False
B6,direct,35,E1.MDR-T_01-13,False
B6,direct,36,E2.MDR-T_01-13,False
B6,direct,37,E3.MDR-T_01-13,False
B6,direct,38,E4.MDR-T_01-13,False
B6,direct,39,E5.MDR-T_01-13,False
B6,direct,40,S2-4_04,False
B6,direct,41,MDR-T_20,False
B6,direct,42,S2.MDR-T_01-13,False
B6,direct,43,E5.IRO-1_01,False
B6,direct,44,S3.MDR-T_01-13,False
B6,direct,45,S3-4_02,False
B6,direct,46,S1.MDR-A_01-12,False
B6,direct,47,S1-4_01,False
B6,direct,48,G1-3_04,False
B6,direct,49,SBM-3_07,False
B6,direct,50,BP-2_24,False
B6,direct,51,MDR-T_16,False
B6,direct,52,S1-4_20,False
B6,direct,53,S2-4_18,False
B6,direct,54,S3-4_19,False
B6,direct,55,S4-4_18,False
B6,direct,56,E4-1_09,False
B6,direct,57,S2-4_03,False
B6,direct,58,S1-4_05,False
B6,direct,59,S1-4_04,False
B6,direct,60,S2-2_08,False
B6,direct,61,S1-4_02,False
B6,direct,62,MDR-A_15,False
B6,direct,63,SBM-1_21,False
B6,direct,64,S3-2_08,False
B6,direct,65,S3-3_16,False
B6,direct,66,S1-4_03,False
B6,direct,67,S4-5_02,False
B6,direct,68,S3-4_15,False
B6,direct,69,S2-4_05,False
B6,direct,70,S1-3_10,False
B6,direct,71,S2-3_07,False
B6,direct,72,S1-2_08,False
B6,direct,73,S3-4_04,False
B6,direct,74,S1-4_16,False
B6,direct,75,S3-4_03,False
B6,direct,76,S3.MDR-A_01-12,False
B6,direct,77,S4.MDR-T_01-13,False
B6,direct,78,E1.MDR-P_07-08,False
B6,direct,79,E2.MDR-P_07-08,False
B6,direct,80,E3.MDR-P_07-08,False
B6,direct,81,E4.MDR-P_07-08,False
B6,direct,82,E5.MDR-P_07-08,False
B6,direct,83,G1.MDR-P_07-08,False
B6,direct,84,S1.MDR-P_07-08,False
B6,direct,85,S2.MDR-P_07-08,False
B6,direct,86,S3.MDR-P_07-08,False
B6,direct,87,S4.MDR-P_07-08,False
B6,direct,88,S2.MDR-A_01-12,False
B6,direct,89,MDR-T_14,False
B6,direct,90,BP-2_25,False
B6,direct,91,MDR-P_01,False
B6,direct,92,S1-4_09,False
B6,direct,93,MDR-P_09,False
B6,direct,94,S4-4_02,False
B6,direct,95,E2.MDR-A_13-14,False
B6,direct,96,E3.MDR-A_13-14,False
B6,direct,97,E4.MDR-A_13-14,False
B6,direct,98,E5.MDR-A_13-14,False
B6,direct,99,G1.MDR-A_13-14,False
