system,evaluated_brsr_ids,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
direct,5,0.35,0.85,0.9,0.9,1.0,0.6900000000000001
symbolic_multihop,5,0.35,0.85,0.9,0.9,1.0,0.6900000000000001
multihop_cross_encoder,5,0.45,0.9,0.9,0.9,1.0,0.85
multihop_kd_gold,5,0.35,0.85,0.9,0.9,1.0,0.75
multihop_kd_gold_medium,5,0.35,0.85,0.9,0.9,1.0,0.75
direct_kd_gold,5,0.35,0.85,0.9,0.9,1.0,0.75
direct_kd_gold_medium,5,0.35,0.85,0.9,0.9,1.0,0.75
direct_full_dense,5,0.35,0.65,0.75,0.8,0.8,0.675
direct_full_cross_encoder,5,0.15,0.5,0.7,0.7,0.7,0.47597087378640773
direct_full_kd_gold,5,0.25,0.75,0.8,0.8,0.8,0.6
direct_full_kd_gold_medium,5,0.25,0.75,0.8,0.8,0.9,0.6
