fold,system,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
1,direct,0.0,1.0,1.0,1.0,1.0,0.25
1,symbolic_multihop,0.0,1.0,1.0,1.0,1.0,0.25
1,multihop_cross_encoder,0.0,1.0,1.0,1.0,1.0,0.25
1,multihop_kd_gold,0.0,1.0,1.0,1.0,1.0,0.25
1,multihop_kd_gold_medium,0.0,1.0,1.0,1.0,1.0,0.25
2,direct,1.0,1.0,1.0,1.0,1.0,1.0
2,symbolic_multihop,1.0,1.0,1.0,1.0,1.0,1.0
2,multihop_cross_encoder,1.0,1.0,1.0,1.0,1.0,1.0
2,multihop_kd_gold,1.0,1.0,1.0,1.0,1.0,1.0
2,multihop_kd_gold_medium,1.0,1.0,1.0,1.0,1.0,1.0
3,direct,0.25,0.75,1.0,1.0,1.0,1.0
3,symbolic_multihop,0.25,0.75,1.0,1.0,1.0,1.0
3,multihop_cross_encoder,0.25,1.0,1.0,1.0,1.0,1.0
3,multihop_kd_gold,0.25,0.75,1.0,1.0,1.0,1.0
3,multihop_kd_gold_medium,0.25,0.75,1.0,1.0,1.0,1.0
4,direct,0.0,0.5,0.5,0.5,1.0,0.2
4,symbolic_multihop,0.0,0.5,0.5,0.5,1.0,0.2
4,multihop_cross_encoder,0.5,0.5,0.5,0.5,1.0,1.0
4,multihop_kd_gold,0.0,0.5,0.5,0.5,1.0,0.5
4,multihop_kd_gold_medium,0.0,0.5,0.5,0.5,1.0,0.5
5,direct,0.5,1.0,1.0,1.0,1.0,1.0
5,symbolic_multihop,0.5,1.0,1.0,1.0,1.0,1.0
5,multihop_cross_encoder,0.5,1.0,1.0,1.0,1.0,1.0
5,multihop_kd_gold,0.5,1.0,1.0,1.0,1.0,1.0
5,multihop_kd_gold_medium,0.5,1.0,1.0,1.0,1.0,1.0
