fold,brsr_id,system,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
1,P6-E1,direct,0.0,1.0,1.0,1.0,1.0,0.25
1,P6-E1,symbolic_multihop,0.0,1.0,1.0,1.0,1.0,0.25
1,P6-E1,multihop_cross_encoder,0.0,1.0,1.0,1.0,1.0,0.25
1,P6-E1,multihop_kd_gold,0.0,1.0,1.0,1.0,1.0,0.25
1,P6-E1,multihop_kd_gold_medium,0.0,1.0,1.0,1.0,1.0,0.25
2,P1-E7,direct,1.0,1.0,1.0,1.0,1.0,1.0
2,P1-E7,symbolic_multihop,1.0,1.0,1.0,1.0,1.0,1.0
2,P1-E7,multihop_cross_encoder,1.0,1.0,1.0,1.0,1.0,1.0
2,P1-E7,multihop_kd_gold,1.0,1.0,1.0,1.0,1.0,1.0
2,P1-E7,multihop_kd_gold_medium,1.0,1.0,1.0,1.0,1.0,1.0
3,P5-E2,direct,0.25,0.75,1.0,1.0,1.0,1.0
3,P5-E2,symbolic_multihop,0.25,0.75,1.0,1.0,1.0,1.0
3,P5-E2,multihop_cross_encoder,0.25,1.0,1.0,1.0,1.0,1.0
3,P5-E2,multihop_kd_gold,0.25,0.75,1.0,1.0,1.0,1.0
3,P5-E2,multihop_kd_gold_medium,0.25,0.75,1.0,1.0,1.0,1.0
4,B6,direct,0.0,0.5,0.5,0.5,1.0,0.2
4,B6,symbolic_multihop,0.0,0.5,0.5,0.5,1.0,0.2
4,B6,multihop_cross_encoder,0.5,0.5,0.5,0.5,1.0,1.0
4,B6,multihop_kd_gold,0.0,0.5,0.5,0.5,1.0,0.5
4,B6,multihop_kd_gold_medium,0.0,0.5,0.5,0.5,1.0,0.5
5,A13,direct,0.5,1.0,1.0,1.0,1.0,1.0
5,A13,symbolic_multihop,0.5,1.0,1.0,1.0,1.0,1.0
5,A13,multihop_cross_encoder,0.5,1.0,1.0,1.0,1.0,1.0
5,A13,multihop_kd_gold,0.5,1.0,1.0,1.0,1.0,1.0
5,A13,multihop_kd_gold_medium,0.5,1.0,1.0,1.0,1.0,1.0
