brsr_id,method,n_gold,n_symbolic_candidates,bridge_gold_reached,recall@1,recall@5,recall@10,recall@20,recall@50,mrr
A13,direct,2,2,2,0.5,0.5,0.5,0.5,1.0,1.0
A13,symbolic_multihop,2,2,2,0.5,1.0,1.0,1.0,1.0,1.0
A13,multihop_kd_gold,2,2,2,0.5,1.0,1.0,1.0,1.0,1.0
A13,multihop_kd_gold_medium,2,2,2,0.5,1.0,1.0,1.0,1.0,1.0
B6,direct,2,186,2,0.0,0.0,0.0,0.0,1.0,0.047619047619047616
B6,symbolic_multihop,2,186,2,0.0,0.0,0.5,1.0,1.0,0.1111111111111111
B6,multihop_kd_gold,2,186,2,0.0,0.5,0.5,1.0,1.0,0.3333333333333333
B6,multihop_kd_gold_medium,2,186,2,0.0,0.5,0.5,1.0,1.0,0.25
P1-E7,direct,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0
P1-E7,symbolic_multihop,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0
P1-E7,multihop_kd_gold,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0
P1-E7,multihop_kd_gold_medium,1,5,1,1.0,1.0,1.0,1.0,1.0,1.0
P5-E2,direct,4,7,4,0.25,0.75,1.0,1.0,1.0,1.0
P5-E2,symbolic_multihop,4,7,4,0.25,0.75,1.0,1.0,1.0,1.0
P5-E2,multihop_kd_gold,4,7,4,0.25,0.75,1.0,1.0,1.0,1.0
P5-E2,multihop_kd_gold_medium,4,7,4,0.25,0.75,1.0,1.0,1.0,1.0
P6-E1,direct,1,13,1,0.0,1.0,1.0,1.0,1.0,0.5
P6-E1,symbolic_multihop,1,13,1,0.0,1.0,1.0,1.0,1.0,0.5
P6-E1,multihop_kd_gold,1,13,1,0.0,1.0,1.0,1.0,1.0,0.25
P6-E1,multihop_kd_gold_medium,1,13,1,0.0,1.0,1.0,1.0,1.0,0.25
